X;ID_unique;Dim.1;Dim.2;Dim.3
23102;23102;-0,005449615;0,444095883;0,446212782
23103;23103;0,19591799;0,564284132;0,250397297
23104;23104;-0,031439746;0,463226872;0,340013565
23105;23105;-0,032219612;0,437036672;0,286983966
23106;23106;0,041786762;0,241875251;0,41894194
23107;23107;-0,232986929;0,197016681;0,255421076
23108;23108;-0,329837517;0,258628986;0,104492837
23109;23109;-0,230544106;0,436130887;0,228122964
23110;23110;-0,013762752;0,361514206;0,482415489
23111;23111;0,160715443;0,245817798;0,397652208
23112;23112;-0,023178207;0,326193315;0,35452552
23113;23113;-0,014948938;0,401074107;0,464912046
23114;23114;0,125960418;0,322305703;0,392260503
23115;23115;0,173867239;0,413202946;0,435423784
23116;23116;0,008956703;0,491789147;0,29566354
23117;23117;0,112355847;0,416078733;0,391187543
23118;23118;-0,018911009;0,357783116;0,495734802
23119;23119;-0,22458852;0,456597387;0,192498349
23120;23120;-0,110009304;0,502653501;0,257615602
23121;23121;-0,152236044;0,369349198;0,299183573
23122;23122;0,064814315;0,439815477;0,295926189
23123;23123;0,024396334;0,387450352;0,483695506
23124;23124;-0,14632511;0,401458483;0,418443058
23125;23125;-0,20242066;0,452321635;0,348248661
23126;23126;-0,205759992;0,334495852;0,400973109
23127;23127;0,101444098;0,45123083;0,384508935
23128;23128;0,02943126;0,42354201;0,409811327
23129;23129;-0,014475865;0,37658294;0,446853101
23130;23130;0,055772091;0,35907252;0,452159192
23131;23131;0,020421512;0,362756042;0,478694689
23132;23132;-0,0388951;0,354933136;0,386190433
23133;23133;-0,095931397;0,402564935;0,23398828
23134;23134;-0,198551245;0,322266423;0,332596743
23135;23135;-0,310834626;0,320730581;-0,175187381
23136;23136;-0,312555068;0,235387475;-0,099724118
23137;23137;0,047640205;0,360986576;0,235326054
23138;23138;-0,034521905;0,344368096;0,459774
23139;23139;-0,209753434;0,194477106;-0,238875183
23140;23140;-0,101724845;0,413289509;-0,059008653
23141;23141;-0,334539766;0,36110034;-0,343444616
23142;23142;-0,370450785;0,293681153;-0,112083445
23143;23143;-0,340921261;0,285456815;-0,171929135
23144;23144;-0,265183289;0,025978306;-0,552347563
23145;23145;-0,426418843;-0,091614775;-0,237948038
23146;23146;-0,32729992;0,153976576;-0,3563524
23147;23147;-0,080162527;0,184937238;0,434982448
23148;23148;-0,296569308;0,154692348;0,13348704
23149;23149;-0,271022095;0,315453727;0,15686399
23150;23150;0,089502011;0,281250584;0,412831203
23151;23151;0,065120005;0,333187852;0,457432055
23152;23152;-0,087174399;0,340505993;0,449198993
23153;23153;0,033795875;0,247223553;0,426641821
23154;23154;-0,158831506;0,369511416;0,471835958
23155;23155;-0,339185516;0,184044604;0,103842735
23156;23156;-0,316240647;0,322733907;0,264726412
23157;23157;0,073626212;0,438548941;0,328705155
23158;23158;0,054102763;0,505094448;0,382042215
23159;23159;-0,008139717;0,51919702;0,201314454
23160;23160;0,097086818;0,499170315;0,401722842
23161;23161;0,054865475;0,337400084;0,464643192
23162;23162;0,003080338;0,415456926;0,431518664
23163;23163;0,074204042;0,495351808;0,231221563
23164;23164;-0,010072882;0,467590147;0,313170386
23165;23165;-0,211967668;0,418070961;0,356048445
23166;23166;-0,115356269;0,378042911;0,315217987
23167;23167;-0,302754471;0,373541543;0,148654465
23168;23168;-0,290385976;0,423755941;0,139891464
23169;23169;-0,131084442;0,461151383;0,334622754
23170;23170;-0,049438875;0,423750429;0,344552135
23171;23171;-0,200111433;0,414168999;0,205819436
23172;23172;-0,271404627;0,380293088;0,328992629
23173;23173;-0,18872204;0,395431398;0,275935447
23174;23174;-0,061249691;0,368233913;0,412338504
23175;23175;0,029618244;0,404800815;0,4046914
23176;23176;-0,250075611;0,438398844;-0,086689674
23177;23177;-0,082065929;0,226093718;0,396998794
23178;23178;-0,240878669;0,417376494;0,28955772
23179;23179;0,005025415;0,416416382;0,413079959
23180;23180;0,106760129;0,350848275;0,36997143
23181;23181;-0,170694057;0,48603502;0,213220914
23182;23182;-0,276139396;0,401985642;0,262777757
23183;23183;-0,389412207;0,37683259;0,113505846
23184;23184;-0,359404234;0,293738015;-0,084074733
23185;23185;-0,371258645;0,336449151;-0,219108372
23186;23186;-0,303920902;0,343231959;-0,221770158
23187;23187;-0,331439801;0,38296822;-0,308010739
23188;23188;-0,373249549;0,407175618;-0,173996803
23189;23189;-0,341132178;0,302139331;-0,287959844
23190;23190;-0,342170339;0,342564289;-0,092224949
23191;23191;-0,273418659;0,146610508;-0,461288356
23192;23192;-0,382642872;0,259443533;-0,464859028
23193;23193;-0,389226459;0,274808546;-0,316774607
23194;23194;-0,325751427;0,276004399;0,25320964
23195;23195;-0,298963116;0,072482888;-0,455984986
23196;23196;-0,435579161;-0,022557605;-0,048430898
23197;23197;-0,245803387;0,355496708;0,349670753
23198;23198;-0,038447564;0,30967947;0,376494195
23199;23199;0,198015037;0,434470098;0,320248807
23200;23200;-0,374399663;0,263729394;-0,159115025
23201;23201;-0,263066063;0,369121378;0,288624967
23202;23202;-0,393058932;0,135490672;-0,433366509
23203;23203;-0,270746566;0,243157823;-0,296444433
23204;23204;-0,343422928;0,343982267;-0,216929619
23205;23205;-0,328077973;0,32384309;-0,213181665
23206;23206;-0,357208912;0,312862883;0,08461144
